temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2022-23,att,Samuel Obeng,Albacete Balompié,CF,CF,Delantero,28.0,Spain,"Spain, Ghana",izquierdo,183,74,1000000,2027-06-30,39,2266,6,6.77,False,samuel obeng|albacete balompie|2022-23
2025-26,med,Riki Rodríguez,Deportivo de La Coruña,"RCMF, LCMF",RCMF,Centrocampista,28.0,Spain,Spain,derecho,175,70,900000,2029-06-30,30,2265,0,1.81,False,riki rodriguez|deportivo de la coruna|2025-26
2023-24,med,Dani Ojeda,SD Huesca,"LW, RW",LW,Extremo,31.0,Spain,Spain,derecho,178,72,1200000,2027-06-30,38,2264,4,6.88,False,dani ojeda|sd huesca|2023-24
2024-25,att,Santi Cazorla,Real Oviedo,"AMF, CF, LAMF",AMF,Mediapunta,41.0,Spain,Spain,derecho,168,66,300000,2026-06-30,35,2263,5,5.38,False,santi cazorla|real oviedo|2024-25
2021-22,med,Sergio Bermejo,Gil Vicente,"RW, RAMF, RWF",RW,Extremo,28.0,Spain,Spain,izquierdo,170,63,900000,2027-06-30,34,2260,3,3.14,False,sergio bermejo|gil vicente|2021-22
2023-24,att,U. Đurđević,Atlas,CF,CF,Delantero,31.0,Serbia,"Serbia, Montenegro",derecho,182,80,1500000,2027-06-30,38,2257,4,7.23,False,u urevic|atlas|2023-24
2025-26,def,F. Brignani,CD Castellón,RCB,RCB,Central,28.0,Italy,Italy,derecho,191,83,0,2029-06-30,32,2257,6,3.91,False,f brignani|cd castellon|2025-26
2025-26,def,Sergio González,Burgos CF,RCB,RCB,Central,29.0,Spain,Spain,derecho,184,77,800000,2026-06-30,31,2257,0,1.09,False,sergio gonzalez|burgos cf|2025-26
2022-23,att,Miguel De La Fuente,UD Almería,"CF, AMF",CF,Delantero,26.0,Spain,Spain,derecho,182,82,2500000,2028-06-30,34,2256,4,5.33,True,miguel de la fuente|ud almeria|2022-23
2021-22,att,Álvaro Giménez,Racing Ferrol,CF,CF,Delantero,34.0,Spain,Spain,izquierdo,182,80,500000,2026-06-30,34,2255,5,5.55,False,alvaro gimenez|racing ferrol|2021-22
2021-22,def,Roberto Santamaría,,GK,GK,Portero,40.0,Spain,Spain,derecho,183,75,0,,24,2253,0,0.0,False,roberto santamaria||2021-22
2022-23,def,Juande Rivas,Piast Gliwice,LCB,LCB,Central,26.0,Spain,Spain,derecho,187,78,400000,2027-06-30,28,2252,1,1.66,False,juande rivas|piast gliwice|2022-23
2024-25,def,Carlos Isaac,Widzew Łódź,RB,RB,Lateral,27.0,Spain,Spain,derecho,184,77,500000,2028-06-30,29,2248,0,0.81,False,carlos isaac|widzew odz|2024-25
2022-23,med,Miki Muñoz,Asteras Tripolis,"AMF, LCMF, RCMF",AMF,Mediapunta,31.0,Spain,Spain,derecho,180,81,700000,2026-06-30,39,2246,3,1.89,False,miki munoz|asteras tripolis|2022-23
2022-23,med,Viti Rozada,UD Las Palmas,"RW, RAMF",RW,Extremo,28.0,Spain,Spain,derecho,170,64,0,2027-06-30,29,2244,2,2.25,False,viti rozada|ud las palmas|2022-23
2025-26,med,Antonio Pacheco,Albacete Balompié,"LCMF, RCMF",LCMF,Centrocampista,24.0,Spain,Spain,derecho,184,77,600000,2028-06-30,32,2243,0,0.92,False,antonio pacheco|albacete balompie|2025-26
2022-23,def,Iker Álvarez,Córdoba CF,GK,GK,Portero,24.0,Andorra,Andorra,derecho,190,81,0,,23,2239,0,0.0,False,iker alvarez|cordoba cf|2022-23
2021-22,med,Rober Correa,Extremadura 1924,RB,RB,Lateral,33.0,Spain,Spain,derecho,180,71,400000,2026-06-30,31,2238,0,0.57,False,rober correa|extremadura 1924|2021-22
2021-22,def,Joaquín Fernández,SD Huesca,RCB,RCB,Central,29.0,Spain,Spain,izquierdo,190,73,1500000,2026-06-30,26,2236,0,1.06,False,joaquin fernandez|sd huesca|2021-22
2021-22,def,Jorge Pulido,SD Huesca,"RCB, LCB",RCB,Central,34.0,Spain,Spain,derecho,186,74,800000,2026-06-30,25,2234,0,1.43,False,jorge pulido|sd huesca|2021-22
2021-22,med,Álex Gallar,CD Lugo,"RAMF, RW",RAMF,Mediapunta,33.0,Spain,Spain,izquierdo,178,71,600000,2026-06-30,33,2232,3,4.12,False,alex gallar|cd lugo|2021-22
2023-24,def,Tachi,Real Zaragoza,"CB, RCMF, RDMF",CB,Central,28.0,Spain,Spain,derecho,184,76,600000,2027-06-30,30,2231,0,0.51,False,tachi|real zaragoza|2023-24
2021-22,med,Álvaro Peña,Racing Ferrol,"LCMF, RCMF",LCMF,Centrocampista,34.0,Spain,Spain,derecho,179,70,400000,2026-06-30,37,2231,2,1.88,False,alvaro pena|racing ferrol|2021-22
2022-23,med,Sergio Lozano,Jagiellonia Białystok,"LW, AMF",LW,Extremo,27.0,Spain,Spain,derecho,176,70,1500000,2027-06-30,28,2231,5,6.93,False,sergio lozano|jagiellonia biaystok|2022-23
2023-24,def,Grego Sierra,Burgos CF,LCB,LCB,Central,33.0,Spain,Spain,izquierdo,186,74,700000,2028-06-30,32,2229,2,0.91,False,grego sierra|burgos cf|2023-24
2024-25,def,Marvel,CD Leganés,"LCB, LB",LCB,Central,23.0,Morocco,"Morocco, Spain",izquierdo,184,80,0,2028-06-30,27,2227,0,0.8,False,marvel|cd leganes|2024-25
2024-25,med,Iván Morante,Burgos CF,"RCMF, RDMF, LDMF",RCMF,Centrocampista,24.0,Spain,Spain,izquierdo,183,75,700000,2026-06-30,34,2227,0,0.69,False,ivan morante|burgos cf|2024-25
